claim_id,claim_text,classification,source,url,verified
C010,SKMCH&RC's overseas fundraising operates through country-specific registered charities including Imran Khan Cancer Appeal UK (Charity Commission #1000580) and Imran Khan Cancer Appeal Inc US (501c3 EIN 13-3626299 established 1991),REPORTED,UK Charity Commission register and Charity Navigator via WebSearch synthesis only,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/1000580,no
C011,Imran Khan Cancer Appeal Inc (US chapter) revenue was $16.04 million FY2022 $17.97 million FY2023 and $23.26 million FY2024 with FY2024 expenses of $26.10 million,REPORTED,ProPublica Nonprofit Explorer republishing IRS Form 990 data; directly fetched,https://projects.propublica.org/nonprofits/organizations/133626299,yes
C012,In FY2024 the US chapter's contributions were $20.82 million (89.5% of revenue) and net fundraising contributed a further $2.31 million (9.9%); total assets were $15.31 million against liabilities of $3190,REPORTED,ProPublica Nonprofit Explorer directly fetched,https://projects.propublica.org/nonprofits/organizations/133626299,yes
C013,Charity Navigator rates Imran Khan Cancer Appeal Inc a Four-Star Charity with a 91% score,REPORTED,Charity Navigator directly fetched,https://www.charitynavigator.org/ein/133626299,yes
C014,The UK charity (Shaukat Khanum Memorial Trust #1000580) reported income of GBP17.74 million against spending of GBP18.1 million for the financial year ending 31 December 2024,REPORTED,UK Charity Commission full filing print retrieved via Firecrawl search,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/1000580/full-print,yes
C015,No distinct Canada-specific SKMCH&RC fundraising chapter was identified in this research pass,UNRESOLVED,absence of evidence not confirmed absence,,no
C016,Pakistan recorded an estimated 173000-185000+ new cancer cases and 118000-125000 cancer deaths annually as of 2025 estimates,REPORTED,multiple medical/public-health sources via WebSearch synthesis only range not narrowed to single authoritative source,,no
C017,Pakistan has around 40 dedicated cancer treatment centers nationally (corrected from an earlier 27-centre figure),REPORTED,"Human-verified by the user directly against the JCPSP source article on 2026-08-26, per their own check of the page",https://www.jcpsp.pk/article-detail/prising-trend-of-cancer-in-pakistan-an-urgent-call-for-actionorp,yes
C018,"RESOLVED 2026-08-26: script now states roughly 250 to 260 trained cancer specialists, per the user's own direct check of the JCPSP source article, reconciling the earlier fewer-than-250 vs. 260-board-certified conflict",REPORTED,Human-verified by the user directly against the JCPSP source article on 2026-08-26,https://www.jcpsp.pk/article-detail/prising-trend-of-cancer-in-pakistan-an-urgent-call-for-actionorp,yes
C019,"NOT USED IN SCRIPT (removed 2026-08-26 per user decision): Only 21.4% of cancer patients in Pakistan have access to radiotherapy services -- user checked the source and chose to drop this figure rather than leave it unconfirmed",REPORTED,via WebSearch synthesis only; user checked but did not confirm to their satisfaction on 2026-08-26,,no
C020,Pakistani pharmacists report frequent shortages of core chemotherapy drugs including etoposide paclitaxel vincristine dacarbazine and methotrexate (plus gemcitabine vinblastine and bleomycin per the full study),VERIFIED,PMC qualitative study directly fetched and read in full 2026-08-26 (25 hospital pharmacists interviewed Aug-Oct 2021),https://pmc.ncbi.nlm.nih.gov/articles/PMC9740989/,yes
C021,The Peshawar campus opened December 29 2015 (confirmed directly via SKMCH&RC's own "Our Story" page) with its first phase completed at a stated cost of Rs4 billion (human-verified by the user directly against the Express Tribune article on 2026-08-26),VERIFIED,"SKMCH&RC official ""Our Story"" page for the date; The Express Tribune for the cost, human-checked by the user",https://shaukatkhanum.org.pk/about-us/our-story/,yes
C022,"Construction of the Karachi campus began September 2020 (confirmed via ""Our Story""); SKMT's audited accounts show Rs16.608 billion in capital work-in-progress for Karachi as of December 31 2025 (more than 2.5x the original Rs6.2bn estimate), of which Rs12.6 billion was spent in 2025 alone; per the Annual Report 2025, exterior work was expected to finish Q1 2026, equipment installation Q3 2026, with the hospital targeting a December 2026 opening -- the campus had NOT opened as of the report",VERIFIED,"SKMT audited Statement of Financial Position (Note 10, Capital work-in-progress) and Annual Report 2025 Karachi update page (both user-supplied PDFs read in full); SKMCH&RC official ""Our Story"" page for construction-start date",user-supplied PDFs: annualauditedaccounts2025.pdf Statement of Financial Position; annual_report_2025.pdf Karachi update,yes
C023,An earlier (2019-era) estimate described the planned Karachi facility as roughly one million square feet twice the size of the Lahore campus with 47 outpatient exam rooms a 69-bed chemotherapy facility 300 inpatient beds 16 operation theatres and 24 ICU beds; since the campus has not yet opened as of Aug 2026 (see C022) these specs describe the plan not a completed facility and should not be stated in the script as built,UNRESOLVED,via WebSearch synthesis only specs not reconfirmed against the campus's actual as-built state since it remains under construction,,no
C024,No SKMCH&RC-specific figure was found quantifying how much rupee depreciation has raised its costs for imported drugs or equipment; the general dynamic is well established in Pakistan's broader medical-import sector,ANALYSIS,general sector dynamic not a quantified SKMCH&RC-specific claim,,no
C025,SKMCH&RC operates an endowment fund intended to generate income toward operating expenses; in 2008 it invested $3 million in a real estate project in Oman with a 100% capital guarantee and recovered the full amount in 2015,REPORTED,"Cross-corroborated 2026-08-26 across four Tier-1 journalism outlets (Geo News The News International Pakistan Today Dawn) via WebSearch; original ResearchGate academic source returned HTTP 403 and remains unread -- the journalism cluster is now the stronger-evidenced source class for this claim",https://www.geo.tv/latest/466900-ex-shcba-chief-says-skmt-invested-3m-funds-in-its-trustees-real-estate-project,partial
